,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00+00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,168545242.1109821,,17.1
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00+00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,45054539.3877215,,14.6
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00+00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,60703918.48879477,,13.9
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00+00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,25651949.563017033,,11.0
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00+00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,37040929.5330611,,11.0
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00+00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,55357492.554470465,,8.8
6,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00+00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,17706920.845705,,6.8
7,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00+00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,32072679.912893668,,5.9
8,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00+00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,13399884.418172399,,5.6
9,TSLA,Tesla Inc,1374.917,XNAS,2010-06-29 00:00:00+00:00,0001318605,BBG000N9MNX3,3325150000.0,,,US,Common Stock,46775668.11075673,,5.3
