,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,187108708.4451225,,9.6
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,42268677.71935437,,8.2
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,54112210.3640212,,7.9
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,23871693.892656602,,6.2
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,38268568.4739019,,6.2
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,57295642.20155837,,5.0
6,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,16600343.111938767,,3.8
7,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,25553925.6544215,,3.3
8,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,14137620.227625666,,3.1
9,TSLA,Tesla Inc,1374.917,XNAS,2010-06-29 00:00:00,0001318605,BBG000N9MNX3,3325150000.0,,,US,Common Stock,59969076.68337341,,3.0
10,BTC,Bitcoin,1318.097,,2010-07-13T00:00:00.000Z,,,19995743.0,,,,Crypto,1141323451761.5007,65918.86447813986,2.9
11,BRK.B,BERKSHIRE HATHAWAY Class B,1055.217,XNYS,1996-05-09 00:00:00,0001067983,BBG000DWG505,1378545639.0,68131,NE,,Common Stock,4845619.096090267,,2.3
12,ORCL,Oracle Corp,835.168,XNYS,1986-03-12 00:00:00,0001341439,BBG000BQLTW7,2841714000.0,78741,TX,,Common Stock,29152889.936160967,,1.8
13,JPM,JPMorgan Chase & Co,827.373,XNYS,1969-03-05 00:00:00,0000019617,BBG000DMBXR2,2749750000.0,,,US,Common Stock,11121966.0818378,,1.8
14,WMT,Walmart Inc.,811.955,XNYS,1970-10-01 00:00:00,0000104169,BBG000BWXBC2,7972851122.0,72716,AR,,Common Stock,40425758.65870636,,1.8
15,LLY,Eli Lilly & Co.,747.188,XNYS,1970-07-09 00:00:00,0000059478,BBG000BNBDC2,946456759.0,46285,IN,,Common Stock,3516280.4140483,,1.6
16,V,Visa Inc,662.076,XNYS,2008-03-25 00:00:00,0001403161,BBG000PSKYX7,1926600000.0,,,US,Common Stock,8515158.0009274,,1.4
17,NFLX,Netflix Inc,518.444,XNAS,2002-05-23 00:00:00,0001065280,BBG000CL9VN6,424930000.0,,,US,Common Stock,56658952.295518704,,1.1
18,MA,Mastercard Inc,503.969,XNYS,2006-05-25 00:00:00,0001141391,BBG000F1ZSQ2,904010000.0,,,US,Common Stock,4320171.371991034,,1.1
